"Points","HJ","PV","LJ","TJ","SP","DT","HT","JT","Decathlon"
"365","-","-","4.33","9.24","7.22","21.81","25.67","27.76","2916"
"364","-","-","-","9.23","7.20","21.76","25.60","27.69","2909"
"363","-","2.60","4.32","9.22","7.18","21.70","25.53","27.61","2902"
"362","-","-","-","9.21","7.17","21.65","25.47","27.54","2895"
"361","-","-","4.31","9.20","7.15","21.59","25.40","27.47","2888"
"360","1.35","2.59","-","9.19","7.13","21.54","25.34","27.40","2881"
"359","-","-","4.30","9.18","7.12","21.48","25.27","27.33","2874"
"358","-","2.58","-","9.17","7.10","21.43","25.20","27.26","2867"
"357","-","-","4.29","9.16","7.08","21.37","25.14","27.19","2860"
"356","-","-","-","9.15","7.06","21.31","25.07","27.11","2853"
"355","-","2.57","4.28","9.14","7.05","21.26","25.00","27.04","2847"
"354","-","-","-","9.13","7.03","21.20","24.94","26.97","2840"
"353","-","2.56","4.27","9.12","7.01","21.15","24.87","26.90","2833"
"352","-","-","-","9.11","7.00","21.09","24.81","26.83","2826"
"351","1.34","-","4.26","9.10","6.98","21.04","24.74","26.76","2819"
"350","-","2.55","-","9.09","6.96","20.98","24.67","26.68","2812"
"349","-","-","4.25","9.08","6.94","20.93","24.61","26.61","2805"
"348","-","2.54","-","9.07","6.93","20.87","24.54","26.54","2798"
"347","-","-","4.24","9.06","6.91","20.82","24.48","26.47","2791"
"346","-","-","-","9.05","6.89","20.76","24.41","26.40","2784"
"345","-","2.53","4.23","9.04","6.88","20.71","24.34","26.33","2777"
"344","-","-","-","9.03","6.86","20.65","24.28","26.25","2770"
"343","1.33","2.52","4.22","9.02","6.84","20.60","24.21","26.18","2764"
"342","-","-","-","9.01","6.82","20.54","24.14","26.11","2757"
"341","-","-","4.21","9.00","6.81","20.48","24.08","26.04","2750"
"340","-","2.51","-","8.99","6.79","20.43","24.01","25.97","2743"
"339","-","-","4.20","8.98","6.77","20.37","23.95","25.90","2736"
"338","-","2.50","-","8.97","6.76","20.32","23.88","25.83","2729"
"337","-","-","4.19","8.96","6.74","20.26","23.81","25.75","2722"
"336","-","-","-","8.95","6.72","20.21","23.75","25.68","2715"
"335","1.32","2.49","4.18","8.94","6.71","20.15","23.68","25.61","2708"
"334","-","-","-","8.93","6.69","20.10","23.61","25.54","2701"
"333","-","-","4.17","8.92","6.67","20.04","23.55","25.47","2694"
"332","-","2.48","-","8.91","6.65","19.99","23.48","25.40","2687"
"331","-","-","-","8.90","6.64","19.93","23.42","25.32","2681"
"330","-","2.47","4.16","8.89","6.62","19.88","23.35","25.25","2674"
"329","-","-","-","8.88","6.60","19.82","23.28","25.18","2667"
"328","-","-","4.15","8.87","6.59","19.76","23.22","25.11","2660"
"327","-","2.46","-","8.86","6.57","19.71","23.15","25.04","2653"
"326","1.31","-","4.14","8.85","6.55","19.65","23.08","24.97","2646"
"325","-","2.45","-","8.84","6.53","19.60","23.02","24.89","2639"
"324","-","-","4.13","8.83","6.52","19.54","22.95","24.82","2632"
"323","-","-","-","8.82","6.50","19.49","22.89","24.75","2625"
"322","-","2.44","4.12","8.81","6.48","19.43","22.82","24.68","2618"
"321","-","-","-","8.80","6.47","19.38","22.75","24.61","2611"
"320","-","2.43","4.11","8.79","6.45","19.32","22.69","24.54","2604"
"319","-","-","-","8.78","6.43","19.27","22.62","24.46","2597"
"318","1.30","-","4.10","8.77","6.42","19.21","22.55","24.39","2590"
"317","-","2.42","-","8.76","6.40","19.15","22.49","24.32","2583"
"316","-","-","4.09","8.75","6.38","19.10","22.42","24.25","2577"
"315","-","2.41","-","8.74","6.36","19.04","22.36","24.18","2570"
"314","-","-","4.08","8.73","6.35","18.99","22.29","24.11","2563"
"313","-","-","-","8.72","6.33","18.93","22.22","24.03","2556"
"312","-","2.40","4.07","8.71","6.31","18.88","22.16","23.96","2549"
"311","-","-","-","8.70","6.30","18.82","22.09","23.89","2542"
"310","1.29","2.39","4.06","8.69","6.28","18.77","22.02","23.82","2535"
"309","-","-","-","8.68","6.26","18.71","21.96","23.75","2528"
"308","-","-","4.05","8.67","6.24","18.66","21.89","23.68","2521"
"307","-","2.38","-","8.66","6.23","18.60","21.83","23.60","2514"
"306","-","-","4.04","8.65","6.21","18.55","21.76","23.53","2507"
"305","-","-","-","8.64","6.19","18.49","21.69","23.46","2500"
"304","-","2.37","4.03","8.63","6.18","18.43","21.63","23.39","2493"
"303","-","-","-","8.62","6.16","18.38","21.56","23.32","2486"
"302","-","2.36","4.02","8.61","6.14","18.32","21.49","23.25","2479"
"301","1.28","-","-","8.60","6.12","18.27","21.43","23.17","2472"
"300","-","-","4.01","8.59","6.11","18.21","21.36","23.10","2465"
"299","-","2.35","-","8.58","6.09","18.16","21.30","23.03","2459"
"298","-","-","4.00","8.57","6.07","18.10","21.23","22.96","2452"
"297","-","2.34","-","8.56","6.06","18.05","21.16","22.89","2445"
"296","-","-","3.99","8.55","6.04","17.99","21.10","22.82","2438"
"295","-","-","-","8.54","6.02","17.94","21.03","22.74","2431"
"294","-","2.33","3.98","8.53","6.01","17.88","20.96","22.67","2424"
"293","1.27","-","-","8.52","5.99","17.82","20.90","22.60","2417"
"292","-","2.32","3.97","8.51","5.97","17.77","20.83","22.53","2410"
"291","-","-","-","8.50","5.95","17.71","20.77","22.46","2403"
"290","-","-","3.96","8.49","5.94","17.66","20.70","22.39","2396"
"289","-","2.31","-","8.47","5.92","17.60","20.63","22.31","2389"
"288","-","-","3.95","8.46","5.90","17.55","20.57","22.24","2382"
"287","-","2.30","-","8.45","5.89","17.49","20.50","22.17","2375"
"286","-","-","3.94","8.44","5.87","17.44","20.43","22.10","2368"
"285","1.26","-","-","8.43","5.85","17.38","20.37","22.03","2361"
"284","-","2.29","3.93","8.42","5.83","17.33","20.30","21.96","2354"
"283","-","-","-","8.41","5.82","17.27","20.24","21.88","2347"
"282","-","2.28","3.92","8.40","5.80","17.21","20.17","21.81","2340"
"281","-","-","-","8.39","5.78","17.16","20.10","21.74","2333"
"280","-","-","3.91","8.38","5.77","17.10","20.04","21.67","2326"
"279","-","2.27","-","8.37","5.75","17.05","19.97","21.60","2319"
"278","-","-","3.90","8.36","5.73","16.99","19.90","21.53","2312"
"277","1.25","2.26","-","8.35","5.71","16.94","19.84","21.45","2306"
"276","-","-","3.89","8.34","5.70","16.88","19.77","21.38","2299"
"275","-","-","-","8.33","5.68","16.83","19.70","21.31","2292"
"274","-","2.25","3.88","8.32","5.66","16.77","19.64","21.24","2285"
"273","-","-","-","8.31","5.65","16.72","19.57","21.17","2278"
"272","-","-","3.87","8.30","5.63","16.66","19.51","21.10","2271"
"271","-","2.24","-","8.29","5.61","16.60","19.44","21.02","2264"
"270","-","-","3.86","8.28","5.59","16.55","19.37","20.95","2257"
"269","-","2.23","-","8.27","5.58","16.49","19.31","20.88","2250"
"268","1.24","-","3.85","8.26","5.56","16.44","19.24","20.81","2243"
"267","-","-","-","8.25","5.54","16.38","19.17","20.74","2236"
"266","-","2.22","3.84","8.24","5.53","16.33","19.11","20.67","2229"
"265","-","-","-","8.23","5.51","16.27","19.04","20.59","2222"
"264","-","2.21","3.83","8.22","5.49","16.22","18.98","20.52","2215"
"263","-","-","-","8.21","5.48","16.16","18.91","20.45","2208"
"262","-","-","3.82","8.20","5.46","16.10","18.84","20.38","2201"
"261","-","2.20","-","8.19","5.44","16.05","18.78","20.31","2194"
"260","1.23","-","3.81","8.18","5.42","15.99","18.71","20.23","2187"
"259","-","2.19","-","8.17","5.41","15.94","18.64","20.16","2180"
"258","-","-","3.80","8.16","5.39","15.88","18.58","20.09","2173"
"257","-","-","-","8.15","5.37","15.83","18.51","20.02","2166"
"256","-","2.18","3.79","8.14","5.36","15.77","18.44","19.95","2159"
"255","-","-","-","8.13","5.34","15.72","18.38","19.88","2152"
"254","-","2.17","3.78","8.12","5.32","15.66","18.31","19.80","2145"
"253","-","-","-","8.11","5.30","15.61","18.25","19.73","2138"
"252","1.22","-","3.77","8.10","5.29","15.55","18.18","19.66","2131"
"251","-","2.16","-","8.09","5.27","15.49","18.11","19.59","2124"
"250","-","-","3.76","8.08","5.25","15.44","18.05","19.52","2117"
"249","-","2.15","-","8.07","5.24","15.38","17.98","19.45","2110"
"248","-","-","3.75","8.06","5.22","15.33","17.91","19.37","2103"
"247","-","-","-","8.05","5.20","15.27","17.85","19.30","2096"
"246","-","2.14","3.74","8.04","5.18","15.22","17.78","19.23","2089"
"245","-","-","-","8.03","5.17","15.16","17.71","19.16","2082"
"244","1.21","2.13","3.73","8.02","5.15","15.11","17.65","19.09","2075"
"243","-","-","-","8.01","5.13","15.05","17.58","19.01","2068"
"242","-","-","3.72","8.00","5.12","14.99","17.52","18.94","2061"
"241","-","2.12","-","7.99","5.10","14.94","17.45","18.87","2054"
"240","-","-","3.71","7.98","5.08","14.88","17.38","18.80","2047"
"239","-","2.11","-","7.97","5.06","14.83","17.32","18.73","2040"
"238","-","-","3.70","7.96","5.05","14.77","17.25","18.66","2033"
"237","-","-","-","7.95","5.03","14.72","17.18","18.58","2026"
"236","-","2.10","3.69","7.94","5.01","14.66","17.12","18.51","2020"
"235","1.20","-","-","7.93","5.00","14.61","17.05","18.44","2013"
"234","-","2.09","3.68","7.92","4.98","14.55","16.98","18.37","2006"
"233","-","-","-","7.91","4.96","14.50","16.92","18.30","1999"
"232","-","-","3.67","7.90","4.94","14.44","16.85","18.23","1992"
"231","-","2.08","-","7.89","4.93","14.38","16.79","18.15","1985"
"230","-","-","3.66","7.88","4.91","14.33","16.72","18.08","1978"
"229","-","-","-","7.87","4.89","14.27","16.65","18.01","1971"
"228","-","2.07","3.65","7.86","4.88","14.22","16.59","17.94","1964"
"227","1.19","-","-","7.85","4.86","14.16","16.52","17.87","1957"
"226","-","2.06","3.64","7.84","4.84","14.11","16.45","17.79","1950"
"225","-","-","-","7.82","4.82","14.05","16.39","17.72","1943"
"224","-","-","3.63","7.81","4.81","14.00","16.32","17.65","1936"
"223","-","2.05","-","7.80","4.79","13.94","16.25","17.58","1929"
"222","-","-","3.62","7.79","4.77","13.88","16.19","17.51","1922"
"221","-","2.04","-","7.78","4.76","13.83","16.12","17.44","1915"
"220","-","-","3.61","7.77","4.74","13.77","16.05","17.36","1908"
"219","1.18","-","-","7.76","4.72","13.72","15.99","17.29","1901"
"218","-","2.03","3.60","7.75","4.70","13.66","15.92","17.22","1894"
"217","-","-","-","7.74","4.69","13.61","15.86","17.15","1887"
"216","-","2.02","3.59","7.73","4.67","13.55","15.79","17.08","1880"
"215","-","-","-","7.72","4.65","13.50","15.72","17.00","1873"
"214","-","-","3.58","7.71","4.64","13.44","15.66","16.93","1866"
"213","-","2.01","-","7.70","4.62","13.38","15.59","16.86","1859"
"212","-","-","3.57","7.69","4.60","13.33","15.52","16.79","1852"
"211","1.17","2.00","-","7.68","4.59","13.27","15.46","16.72","1845"
"210","-","-","-","7.67","4.57","13.22","15.39","16.65","1838"
"209","-","-","3.56","7.66","4.55","13.16","15.32","16.57","1831"
"208","-","1.99","-","7.65","4.53","13.11","15.26","16.50","1824"
"207","-","-","3.55","7.64","4.52","13.05","15.19","16.43","1817"
"206","-","1.98","-","7.63","4.50","13.00","15.13","16.36","1810"
"205","-","-","3.54","7.62","4.48","12.94","15.06","16.29","1803"
"204","-","-","-","7.61","4.47","12.88","14.99","16.21","1796"
"203","1.16","1.97","3.53","7.60","4.45","12.83","14.93","16.14","1788"
"202","-","-","-","7.59","4.43","12.77","14.86","16.07","1781"
"201","-","1.96","3.52","7.58","4.41","12.72","14.79","16.00","1774"
"200","-","-","-","7.57","4.40","12.66","14.73","15.93","1767"
"199","-","-","3.51","7.56","4.38","12.61","14.66","15.86","1760"
"198","-","1.95","-","7.55","4.36","12.55","14.59","15.78","1753"
"197","-","-","3.50","7.54","4.35","12.50","14.53","15.71","1746"
"196","-","1.94","-","7.53","4.33","12.44","14.46","15.64","1739"
"195","-","-","3.49","7.52","4.31","12.38","14.39","15.57","1732"
"194","1.15","-","-","7.51","4.29","12.33","14.33","15.50","1725"
"193","-","1.93","3.48","7.50","4.28","12.27","14.26","15.42","1718"
"192","-","-","-","7.49","4.26","12.22","14.19","15.35","1711"
"191","-","1.92","3.47","7.48","4.24","12.16","14.13","15.28","1704"
"190","-","-","-","7.47","4.23","12.11","14.06","15.21","1697"
"189","-","-","3.46","7.46","4.21","12.05","14.00","15.14","1690"
"188","-","1.91","-","7.45","4.19","11.99","13.93","15.06","1683"
"187","-","-","3.45","7.44","4.17","11.94","13.86","14.99","1676"
"186","1.14","1.90","-","7.43","4.16","11.88","13.80","14.92","1669"
"185","-","-","3.44","7.42","4.14","11.83","13.73","14.85","1662"
"184","-","-","-","7.41","4.12","11.77","13.66","14.78","1655"
"183","-","1.89","3.43","7.40","4.11","11.72","13.60","14.71","1648"
"182","-","-","-","7.39","4.09","11.66","13.53","14.63","1641"
"181","-","1.88","3.42","7.38","4.07","11.61","13.46","14.56","1634"
"180","-","-","-","7.37","4.05","11.55","13.40","14.49","1627"
"179","-","-","3.41","7.36","4.04","11.49","13.33","14.42","1620"
"178","1.13","1.87","-","7.35","4.02","11.44","13.26","14.35","1613"
"177","-","-","3.40","7.33","4.00","11.38","13.20","14.27","1606"
"176","-","1.86","-","7.32","3.99","11.33","13.13","14.20","1599"
"175","-","-","3.39","7.31","3.97","11.27","13.07","14.13","1592"
"174","-","-","-","7.30","3.95","11.22","13.00","14.06","1585"
"173","-","1.85","3.38","7.29","3.93","11.16","12.93","13.99","1578"
"172","-","-","-","7.28","3.92","11.11","12.87","13.91","1571"
"171","-","1.84","3.37","7.27","3.90","11.05","12.80","13.84","1564"
"170","1.12","-","-","7.26","3.88","10.99","12.73","13.77","1557"
"169","-","-","3.36","7.25","3.87","10.94","12.67","13.70","1550"
"168","-","1.83","-","7.24","3.85","10.88","12.60","13.63","1543"
"167","-","-","3.35","7.23","3.83","10.83","12.53","13.55","1536"
"166","-","1.82","-","7.22","3.81","10.77","12.47","13.48","1529"
"165","-","-","3.34","7.21","3.80","10.72","12.40","13.41","1522"
"164","-","-","-","7.20","3.78","10.66","12.33","13.34","1515"
"163","-","1.81","3.33","7.19","3.76","10.60","12.27","13.27","1507"
"162","1.11","-","-","7.18","3.75","10.55","12.20","13.20","1500"
"161","-","1.80","3.32","7.17","3.73","10.49","12.13","13.12","1493"
"160","-","-","-","7.16","3.71","10.44","12.07","13.05","1486"
"159","-","-","3.31","7.15","3.69","10.38","12.00","12.98","1479"
"158","-","1.79","-","7.14","3.68","10.33","11.93","12.91","1472"
"157","-","-","3.30","7.13","3.66","10.27","11.87","12.84","1465"
"156","-","1.78","3.29","7.12","3.64","10.22","11.80","12.76","1458"
"155","-","-","-","7.11","3.63","10.16","11.74","12.69","1451"
"154","1.10","-","3.28","7.10","3.61","10.10","11.67","12.62","1444"
"153","-","1.77","-","7.09","3.59","10.05","11.60","12.55","1437"
"152","-","-","3.27","7.08","3.57","9.99","11.54","12.48","1430"
"151","-","1.76","-","7.07","3.56","9.94","11.47","12.40","1423"
"150","-","-","3.26","7.06","3.54","9.88","11.40","12.33","1416"
"149","-","-","-","7.05","3.52","9.83","11.34","12.26","1409"
"148","-","1.75","3.25","7.04","3.51","9.77","11.27","12.19","1402"
"147","-","-","-","7.03","3.49","9.71","11.20","12.12","1395"
"146","-","1.74","3.24","7.02","3.47","9.66","11.14","12.04","1388"
"145","1.09","-","-","7.01","3.45","9.60","11.07","11.97","1381"
"144","-","-","3.23","7.00","3.44","9.55","11.00","11.90","1374"
"143","-","1.73","-","6.99","3.42","9.49","10.94","11.83","1367"
"142","-","-","3.22","6.98","3.40","9.44","10.87","11.76","1360"
"141","-","1.72","-","6.97","3.39","9.38","10.80","11.68","1352"
"140","-","-","3.21","6.96","3.37","9.32","10.74","11.61","1345"
"139","-","-","-","6.95","3.35","9.27","10.67","11.54","1338"
"138","-","1.71","3.20","6.94","3.33","9.21","10.60","11.47","1331"
"137","1.08","-","-","6.92","3.32","9.16","10.54","11.40","1324"
"136","-","1.70","3.19","6.91","3.30","9.10","10.47","11.32","1317"
"135","-","-","-","6.90","3.28","9.05","10.40","11.25","1310"
"134","-","-","3.18","6.89","3.27","8.99","10.34","11.18","1303"
"133","-","1.69","-","6.88","3.25","8.94","10.27","11.11","1296"
"132","-","-","3.17","6.87","3.23","8.88","10.20","11.04","1289"
"131","-","1.68","-","6.86","3.21","8.82","10.14","10.97","1282"
"130","-","-","3.16","6.85","3.20","8.77","10.07","10.89","1275"
"129","1.07","-","-","6.84","3.18","8.71","10.01","10.82","1268"
"128","-","1.67","3.15","6.83","3.16","8.66","9.94","10.75","1261"
"127","-","-","-","6.82","3.14","8.60","9.87","10.68","1254"
"126","-","1.66","3.14","6.81","3.13","8.55","9.81","10.61","1247"
"125","-","-","-","6.80","3.11","8.49","9.74","10.53","1240"
"124","-","-","3.13","6.79","3.09","8.43","9.67","10.46","1232"
"123","-","1.65","-","6.78","3.08","8.38","9.61","10.39","1225"
"122","-","-","3.12","6.77","3.06","8.32","9.54","10.32","1218"
"121","1.06","1.64","-","6.76","3.04","8.27","9.47","10.25","1211"
"120","-","-","3.11","6.75","3.02","8.21","9.41","10.17","1204"
"119","-","-","-","6.74","3.01","8.16","9.34","10.10","1197"
"118","-","1.63","3.10","6.73","2.99","8.10","9.27","10.03","1190"
"117","-","-","-","6.72","2.97","8.04","9.21","9.96","1183"
"116","-","1.62","3.09","6.71","2.96","7.99","9.14","9.89","1176"
"115","-","-","-","6.70","2.94","7.93","9.07","9.81","1169"
"114","-","-","3.08","6.69","2.92","7.88","9.01","9.74","1162"
"113","1.05","1.61","-","6.68","2.90","7.82","8.94","9.67","1155"
"112","-","-","3.07","6.67","2.89","7.77","8.87","9.60","1148"
"111","-","1.60","-","6.66","2.87","7.71","8.81","9.53","1141"
"110","-","-","3.06","6.65","2.85","7.65","8.74","9.45","1133"
"109","-","-","-","6.64","2.84","7.60","8.67","9.38","1126"
"108","-","1.59","3.05","6.63","2.82","7.54","8.61","9.31","1119"
"107","-","-","-","6.62","2.80","7.49","8.54","9.24","1112"
"106","-","1.58","3.04","6.61","2.78","7.43","8.47","9.17","1105"
"105","1.04","-","-","6.60","2.77","7.38","8.41","9.09","1098"
"104","-","-","3.03","6.59","2.75","7.32","8.34","9.02","1091"
"103","-","1.57","-","6.57","2.73","7.26","8.27","8.95","1084"
"102","-","-","3.02","6.56","2.72","7.21","8.21","8.88","1077"
"101","-","1.56","-","6.55","2.70","7.15","8.14","8.81","1070"
"100","-","-","3.01","6.54","2.68","7.10","8.07","8.73","1063"
"99","-","-","-","6.53","2.66","7.04","8.01","8.66","1056"
"98","-","1.55","3.00","6.52","2.65","6.99","7.94","8.59","1049"
"97","1.03","-","-","6.51","2.63","6.93","7.87","8.52","1041"
"96","-","1.54","2.99","6.50","2.61","6.87","7.81","8.44","1034"
"95","-","-","-","6.49","2.60","6.82","7.74","8.37","1027"
"94","-","-","2.98","6.48","2.58","6.76","7.67","8.30","1020"
"93","-","1.53","-","6.47","2.56","6.71","7.61","8.23","1013"
"92","-","-","2.97","6.46","2.54","6.65","7.54","8.16","1006"
"91","-","1.52","-","6.45","2.53","6.60","7.47","8.08","999"
"90","-","-","2.96","6.44","2.51","6.54","7.41","8.01","992"
"89","-","-","-","6.43","2.49","6.48","7.34","7.94","985"
"88","1.02","1.51","2.95","6.42","2.48","6.43","7.28","7.87","978"
"87","-","-","-","6.41","2.46","6.37","7.21","7.80","971"
"86","-","1.50","2.94","6.40","2.44","6.32","7.14","7.72","963"
"85","-","-","-","6.39","2.42","6.26","7.08","7.65","956"
"84","-","-","2.93","6.38","2.41","6.21","7.01","7.58","949"
"83","-","1.49","-","6.37","2.39","6.15","6.94","7.51","942"
"82","-","-","2.92","6.36","2.37","6.09","6.88","7.44","935"
"81","-","1.48","-","6.35","2.36","6.04","6.81","7.36","928"
"80","1.01","-","2.91","6.34","2.34","5.98","6.74","7.29","921"
"79","-","-","-","6.33","2.32","5.93","6.68","7.22","914"
"78","-","1.47","2.90","6.32","2.30","5.87","6.61","7.15","907"
"77","-","-","-","6.31","2.29","5.82","6.54","7.08","900"
"76","-","1.46","2.89","6.30","2.27","5.76","6.48","7.00","893"
"75","-","-","-","6.29","2.25","5.70","6.41","6.93","885"
"74","-","-","2.88","6.28","2.23","5.65","6.34","6.86","878"
"73","-","1.45","-","6.27","2.22","5.59","6.28","6.79","871"
"72","1.00","-","2.87","6.25","2.20","5.54","6.21","6.72","864"
"71","-","1.44","-","6.24","2.18","5.48","6.14","6.64","857"
"70","-","-","2.86","6.23","2.17","5.43","6.08","6.57","850"
"69","-","-","-","6.22","2.15","5.37","6.01","6.50","843"
"68","-","1.43","2.85","6.21","2.13","5.31","5.94","6.43","836"
"67","-","-","-","6.20","2.11","5.26","5.88","6.36","829"
"66","-","1.42","2.84","6.19","2.10","5.20","5.81","6.28","822"
"65","-","-","-","6.18","2.08","5.15","5.74","6.21","814"
"64","0.99","-","2.83","6.17","2.06","5.09","5.68","6.14","807"
"63","-","1.41","-","6.16","2.05","5.03","5.61","6.07","800"
"62","-","-","2.82","6.15","2.03","4.98","5.54","5.99","793"
"61","-","1.40","-","6.14","2.01","4.92","5.48","5.92","786"
"60","-","-","2.81","6.13","1.99","4.87","5.41","5.85","779"
"59","-","-","-","6.12","1.98","4.81","5.34","5.78","772"
"58","-","1.39","2.80","6.11","1.96","4.76","5.28","5.71","765"
"57","-","-","-","6.10","1.94","4.70","5.21","5.63","758"
"56","0.98","1.38","2.79","6.09","1.93","4.64","5.14","5.56","750"
"55","-","-","-","6.08","1.91","4.59","5.08","5.49","743"
"54","-","-","2.78","6.07","1.89","4.53","5.01","5.42","736"
"53","-","1.37","-","6.06","1.87","4.48","4.94","5.35","729"
"52","-","-","2.77","6.05","1.86","4.42","4.88","5.27","722"
"51","-","1.36","-","6.04","1.84","4.37","4.81","5.20","715"
"50","-","-","2.76","6.03","1.82","4.31","4.74","5.13","708"
"49","-","-","-","6.02","1.80","4.25","4.68","5.06","701"
"48","0.97","1.35","2.75","6.01","1.79","4.20","4.61","4.99","694"
"47","-","-","-","6.00","1.77","4.14","4.54","4.91","686"
"46","-","1.34","2.74","5.99","1.75","4.09","4.48","4.84","679"
"45","-","-","-","5.98","1.74","4.03","4.41","4.77","672"
"44","-","-","2.73","5.96","1.72","3.98","4.34","4.70","665"
"43","-","1.33","-","5.95","1.70","3.92","4.28","4.62","658"
"42","-","-","2.72","5.94","1.68","3.86","4.21","4.55","651"
"41","-","1.32","-","5.93","1.67","3.81","4.14","4.48","644"
"40","0.96","-","2.71","5.92","1.65","3.75","4.08","4.41","637"
"39","-","1.31","-","5.91","1.63","3.70","4.01","4.34","629"
"38","-","-","2.70","5.90","1.62","3.64","3.94","4.26","622"
"37","-","-","2.69","5.89","1.60","3.58","3.88","4.19","615"
"36","-","1.30","-","5.88","1.58","3.53","3.81","4.12","608"
"35","-","-","2.68","5.87","1.56","3.47","3.74","4.05","601"
"34","-","1.29","-","5.86","1.55","3.42","3.67","3.98","594"
"33","-","-","2.67","5.85","1.53","3.36","3.61","3.90","587"
"32","0.95","-","-","5.84","1.51","3.31","3.54","3.83","580"
"31","-","1.28","2.66","5.83","1.50","3.25","3.47","3.76","572"
"30","-","-","-","5.82","1.48","3.19","3.41","3.69","565"
"29","-","1.27","2.65","5.81","1.46","3.14","3.34","3.61","558"
"28","-","-","-","5.80","1.44","3.08","3.27","3.54","551"
"27","-","-","2.64","5.79","1.43","3.03","3.21","3.47","544"
"26","-","1.26","-","5.78","1.41","2.97","3.14","3.40","537"
"25","-","-","2.63","5.77","1.39","2.91","3.07","3.33","530"
"24","0.94","1.25","-","5.76","1.37","2.86","3.01","3.25","522"
"23","-","-","2.62","5.75","1.36","2.80","2.94","3.18","515"
"22","-","-","-","5.74","1.34","2.75","2.87","3.11","508"
"21","-","1.24","2.61","5.73","1.32","2.69","2.81","3.04","501"
"20","-","-","-","5.72","1.31","2.64","2.74","2.97","494"
"19","-","1.23","2.60","5.71","1.29","2.58","2.67","2.89","487"
"18","-","-","-","5.70","1.27","2.52","2.61","2.82","480"
"17","-","-","2.59","5.68","1.25","2.47","2.54","2.75","472"
"16","0.93","1.22","-","5.67","1.24","2.41","2.47","2.68","465"
"15","-","-","2.58","5.66","1.22","2.36","2.41","2.60","458"
"14","-","1.21","-","5.65","1.20","2.30","2.34","2.53","451"
"13","-","-","2.57","5.64","1.19","2.24","2.27","2.46","444"
"12","-","-","-","5.63","1.17","2.19","2.21","2.39","437"
"11","-","1.20","2.56","5.62","1.15","2.13","2.14","2.32","430"
"10","-","-","-","5.61","1.13","2.08","2.07","2.24","423"
"9","-","1.19","2.55","5.60","1.12","2.02","2.01","2.17","415"
"8","0.92","-","-","5.59","1.10","1.97","1.94","2.10","408"
"7","-","-","2.54","5.58","1.08","1.91","1.87","2.03","401"
"6","-","1.18","-","5.57","1.07","1.85","1.81","1.95","394"
"5","-","-","2.53","5.56","1.05","1.80","1.74","1.88","387"
"4","-","1.17","-","5.55","1.03","1.74","1.67","1.81","380"
"3","-","-","2.52","5.54","1.01","1.69","1.61","1.74","372"
"2","-","-","-","5.53","1.00","1.63","1.54","1.67","365"
"1","-","1.16","2.51","5.52","0.98","1.57","1.47","1.59","358"
